from_stop_id,from_trip_id,to_stop_id,to_trip_id,transfer_type
NSR:Quay:74192,ATB:ServiceJourney:72_250228142140776_6032,NSR:Quay:74192,ATB:ServiceJourney:73_240516085573127_31,1
NSR:Quay:72946,ATB:ServiceJourney:1_250113084170825_6084,NSR:Quay:72946,ATB:ServiceJourney:77_250113084169234_6010,1
NSR:Quay:71982,ATB:ServiceJourney:1_240516085577685_152,NSR:Quay:71982,ATB:ServiceJourney:74_240516085572795_24,1
NSR:Quay:102047,ATB:ServiceJourney:7702_241205091487941_6,NSR:Quay:77344,ATB:ServiceJourney:7711_241205091487993_6,1
NSR:Quay:72946,ATB:ServiceJourney:1_250131110658338_200,NSR:Quay:72946,ATB:ServiceJourney:46_240516085572910_80,1
NSR:Quay:72946,ATB:ServiceJourney:1_250131110658404_4,NSR:Quay:72946,ATB:ServiceJourney:77_241111133697171_2,1
NSR:Quay:102047,ATB:ServiceJourney:670_241205091487790_15,NSR:Quay:102047,ATB:ServiceJourney:311_241205091488801_30,1
NSR:Quay:108663,ATB:ServiceJourney:5208_241205091488718_11,NSR:Quay:108663,ATB:ServiceJourney:5208_241205091488717_3,1
NSR:Quay:77344,ATB:ServiceJourney:7701_241205091487939_3,NSR:Quay:77344,ATB:ServiceJourney:7705_241205091487961_2,1
NSR:Quay:75607,ATB:ServiceJourney:1_240516085577844_6168,NSR:Quay:75607,ATB:ServiceJourney:72_240516085572618_6062,1
NSR:Quay:74982,ATB:ServiceJourney:1_240516085577454_7059,NSR:Quay:74982,ATB:ServiceJourney:41_240912065856317_7024,1
NSR:Quay:72946,ATB:ServiceJourney:1_250113084167344_6020,NSR:Quay:72946,ATB:ServiceJourney:78_250113084170767_6006,1
NSR:Quay:77903,ATB:ServiceJourney:741_241021121640041_5,NSR:Quay:77903,ATB:ServiceJourney:680_241021121641954_6,1
NSR:Quay:75658,ATB:ServiceJourney:1_250113084169757_7011,NSR:Quay:75658,ATB:ServiceJourney:14_250113084170097_7001,1
NSR:Quay:75287,ATB:ServiceJourney:72_240516085572728_36,NSR:Quay:75287,ATB:ServiceJourney:83_240516085572248_4,1
NSR:Quay:72946,ATB:ServiceJourney:1_250131110658433_6136,NSR:Quay:72946,ATB:ServiceJourney:77_241111133698461_6014,1
NSR:Quay:74856,ATB:ServiceJourney:5205_241205091485814_2,NSR:Quay:74856,ATB:ServiceJourney:5209_241205091485841_4,1
NSR:Quay:74982,ATB:ServiceJourney:1_250113084167428_6037,NSR:Quay:74982,ATB:ServiceJourney:41_250113084169963_6022,1
NSR:Quay:75607,ATB:ServiceJourney:1_250131110658478_7056,NSR:Quay:75607,ATB:ServiceJourney:72_250228142139337_7016,1
NSR:Quay:72888,ATB:ServiceJourney:71_250203085380134_7017,NSR:Quay:72888,ATB:ServiceJourney:82_250203085195808_7017,1
NSR:Quay:75493,ATB:ServiceJourney:310_241021121639170_38,NSR:Quay:75493,ATB:ServiceJourney:515_241205091485720_9,1
NSR:Quay:74192,ATB:ServiceJourney:72_250228142140498_4,NSR:Quay:74192,ATB:ServiceJourney:73_240516085572756_5,1
NSR:Quay:72946,ATB:ServiceJourney:2_241025073161396_6176,NSR:Quay:72946,ATB:ServiceJourney:46_240923126238260_6070,1
NSR:Quay:72946,ATB:ServiceJourney:1_240516085577725_106,NSR:Quay:72946,ATB:ServiceJourney:77_241111133701145_20,1
NSR:Quay:75658,ATB:ServiceJourney:1_250121130256124_7075,NSR:Quay:75658,ATB:ServiceJourney:14_250203104238957_7035,1
NSR:Quay:71982,ATB:ServiceJourney:1_250131110658468_7036,NSR:Quay:71982,ATB:ServiceJourney:74_240516085572826_7010,1
NSR:Quay:72946,ATB:ServiceJourney:1_250113084167339_6012,NSR:Quay:72946,ATB:ServiceJourney:46_250113084172332_6006,1
NSR:Quay:72888,ATB:ServiceJourney:71_240516085577134_6043,NSR:Quay:72888,ATB:ServiceJourney:82_241107118768540_6046,1
